c1		c2		c1parents		c2parents		conf	match	alt_c1		alt_c2		ignored_c1
CORE:0000004	charge	Wikidata:Q5074243	charge	CORE:0000001	quality	Wikidata:Q1547148	bugle call	low	charge			Wikidata:Q16245536|Wikidata:Q26156976|Wikidata:Q5074241|Wikidata:Q5074242|Wikidata:Q5074247|Wikidata:Q54839652	Charge|Charge|Charge|Charge|Charge|Charge	
CORE:0000004	charge	Wikidata:Q5074247	Charge	CORE:0000001	quality	Wikidata:Q2188189	musical work	low	charge			Wikidata:Q16245536|Wikidata:Q26156976|Wikidata:Q5074241|Wikidata:Q5074242|Wikidata:Q5074243|Wikidata:Q54839652	Charge|Charge|Charge|Charge|charge|Charge	
CORE:0000004	charge	Wikidata:Q54839652	Charge	CORE:0000001	quality	Wikidata:Q101352	family name	low	charge			Wikidata:Q16245536|Wikidata:Q26156976|Wikidata:Q5074241|Wikidata:Q5074242|Wikidata:Q5074243|Wikidata:Q5074247	Charge|Charge|Charge|Charge|charge|Charge	
CORE:0000005	elementary charge	Wikidata:Q2101	elementary charge	CORE:0000004	charge	Wikidata:Q16604158|Wikidata:Q173227|Wikidata:Q46344	unit of charge|physical constant|quantum	high	elementary charge					
CORE:0000008	proton	Wikidata:Q11277568	Proton	CORE:0000007	subatomic particle	Wikidata:Q5	human	low	proton			Wikidata:Q2294|Wikidata:Q249231|Wikidata:Q48812752|Wikidata:Q7120411|Wikidata:Q827306	proton|Proton|Proton|PROTON|Proton	
CORE:0000008	proton	Wikidata:Q2294	proton	CORE:0000007	subatomic particle	Wikidata:Q22675015|Wikidata:Q506710|Wikidata:Q55523831	type of quantum particle|hydron|monocation	low	proton			Wikidata:Q11277568|Wikidata:Q249231|Wikidata:Q48812752|Wikidata:Q7120411|Wikidata:Q827306	Proton|Proton|Proton|PROTON|Proton	
CORE:0000008	proton	Wikidata:Q249231	Proton	CORE:0000007	subatomic particle	Wikidata:Q697175	launch vehicle	low	proton			Wikidata:Q11277568|Wikidata:Q2294|Wikidata:Q48812752|Wikidata:Q7120411|Wikidata:Q827306	Proton|proton|Proton|PROTON|Proton	
CORE:0000008	proton	Wikidata:Q48812752	Proton	CORE:0000007	subatomic particle	Wikidata:Q215380	band	low	proton			Wikidata:Q11277568|Wikidata:Q2294|Wikidata:Q249231|Wikidata:Q7120411|Wikidata:Q827306	Proton|proton|Proton|PROTON|Proton	
CORE:0000008	proton	Wikidata:Q7120411	PROTON	CORE:0000007	subatomic particle	Wikidata:Q3882785	upper ontology	low	proton			Wikidata:Q11277568|Wikidata:Q2294|Wikidata:Q249231|Wikidata:Q48812752|Wikidata:Q827306	Proton|proton|Proton|Proton|Proton	
CORE:0000008	proton	Wikidata:Q827306	Proton	CORE:0000007	subatomic particle	Wikidata:Q17412622|Wikidata:Q786820	automobile marque|automobile manufacturer	low	proton			Wikidata:Q11277568|Wikidata:Q2294|Wikidata:Q249231|Wikidata:Q48812752|Wikidata:Q7120411	Proton|proton|Proton|Proton|PROTON	
CORE:0000009	neutron	Wikidata:Q12968611	Neutron	CORE:0000007	subatomic particle	Wikidata:Q1114461	comics character	low	neutron			Wikidata:Q2348|Wikidata:Q28975252|Wikidata:Q5142064	neutron|neutron|Neutron	
CORE:0000009	neutron	Wikidata:Q2348	neutron	CORE:0000007	subatomic particle	Wikidata:Q12525553|Wikidata:Q22675015	isotope of neutronium|type of quantum particle	low	neutron			Wikidata:Q12968611|Wikidata:Q28975252|Wikidata:Q5142064	Neutron|neutron|Neutron	
CORE:0000009	neutron	Wikidata:Q28975252	neutron	CORE:0000007	subatomic particle	Wikidata:Q7397	software	low	neutron			Wikidata:Q12968611|Wikidata:Q2348|Wikidata:Q5142064	Neutron|neutron|Neutron	
