?x	?xl
<http://purl.obolibrary.org/obo/ENVO_01000204>	"tropical"
<http://purl.obolibrary.org/obo/ENVO_00002179>	"intertidal sediment"
<http://purl.obolibrary.org/obo/ENVO_01000135>	"nitrate-reducing sediment"
<http://purl.obolibrary.org/obo/ENVO_01001119>	"composted animal manure"@en
<http://purl.obolibrary.org/obo/ENVO_00002201>	"cis-dichloroethane contaminated sediment"
<http://purl.obolibrary.org/obo/ENVO_02000114>	"paraffin wax fume"
<http://purl.obolibrary.org/obo/ENVO_08000001>	"axilla skin environment"
<http://purl.obolibrary.org/obo/ENVO_01001131>	"hot Jupiter"@en
<http://purl.obolibrary.org/obo/ENVO_3100001>	"concentration of Adenosine 5-triphosphate in liquid water"
<http://purl.obolibrary.org/obo/ENVO_00002242>	"lixisol"
<http://purl.obolibrary.org/obo/ENVO_02000020>	"blood material"
<http://purl.obolibrary.org/obo/ENVO_00003095>	"quinate enriched soil"
<http://purl.obolibrary.org/obo/ENVO_01000153>	"sulphate-reducing sediment"
<http://purl.obolibrary.org/obo/ENVO_00000343>	"particle of silt"
<http://purl.obolibrary.org/obo/ENVO_09000004>	"amount of carbon atom in environmental material"
<http://purl.obolibrary.org/obo/ENVO_00002248>	"luvisol"
<http://purl.obolibrary.org/obo/ENVO_01001528>	"friable-frozen soil"@en
<http://purl.obolibrary.org/obo/ENVO_00005778>	"tropical soil"
<http://purl.obolibrary.org/obo/ENVO_01000114>	"boulder sediment"
<http://purl.obolibrary.org/obo/ENVO_01000760>	"cloud"@en
<http://purl.obolibrary.org/obo/ENVO_03500007>	"noisy environment"@en
<http://purl.obolibrary.org/obo/ENVO_3200035>	"concentration of silver in water ice"
<http://purl.obolibrary.org/obo/ENVO_00005760>	"burned soil"
<http://purl.obolibrary.org/obo/ENVO_01001475>	"omics observatory system"@en
<http://purl.obolibrary.org/obo/ENVO_00003045>	"bacon curing brine"
<http://purl.obolibrary.org/obo/ENVO_01000155>	"organic material"
<http://purl.obolibrary.org/obo/ENVO_09000006>	"amount of carbon atom in water"
<http://purl.obolibrary.org/obo/ENVO_01001687>	"mass of solid material"@en
<http://purl.obolibrary.org/obo/ENVO_01001017>	"halo"@en
<http://purl.obolibrary.org/obo/ENVO_03000072>	"second year ice"@en
<http://purl.obolibrary.org/obo/ENVO_02000040>	"mucus material"
<http://purl.obolibrary.org/obo/ENVO_01000555>	"compressed natural gas"@en
<http://purl.obolibrary.org/obo/ENVO_01000461>	"refined asphalt"
<http://purl.obolibrary.org/obo/ENVO_3200014>	"concentration of praseodymium in lake water"
<http://purl.obolibrary.org/obo/ENVO_00003086>	"ethanol enriched soil"
<http://purl.obolibrary.org/obo/ENVO_01000173>	"anoxic water"
<http://purl.obolibrary.org/obo/ENVO_01001522>	"fast ice"@en
<http://purl.obolibrary.org/obo/ENVO_00010505>	"aerosol"
<http://purl.obolibrary.org/obo/ENVO_01001494>	"moonmoon"@en
<http://purl.obolibrary.org/obo/ENVO_01000416>	"ultrafine respirable suspended particulate matter"@en
<http://purl.obolibrary.org/obo/ENVO_02000046>	"calcareous ooze"
