?x	?xl
<http://purl.obolibrary.org/obo/FBbt_00005342>	"imaginal disc-derived cell-line"
<http://purl.obolibrary.org/obo/FBbt_00004791>	"abdominal tergite 2"
<http://purl.obolibrary.org/obo/FBbt_00001237>	"ventral abdominal ch"
<http://purl.obolibrary.org/obo/FBbt_00005070>	"visceral muscle"
<http://purl.obolibrary.org/obo/FBbt_00001004>	"gut suspension muscle 4"
<http://purl.obolibrary.org/obo/FBbt_00004901>	"terminal filament"
<http://purl.obolibrary.org/obo/FBbt_00000886>	"abdominal 6 ventral oblique muscle 5"
<http://purl.obolibrary.org/obo/FBbt_00004854>	"postgonite"
<http://purl.obolibrary.org/obo/FBbt_00004000>	"tritocerebral center"
<http://purl.obolibrary.org/obo/FBbt_00003429>	"metathoracic spiracle occlusor muscle 97"
<http://purl.obolibrary.org/obo/FBbt_00000587>	"metathoracic ventral longitudinal muscle 4"
<http://purl.obolibrary.org/obo/FBbt_00001278>	"B-subperineurial glial cell of abdominal segment 2"
<http://purl.obolibrary.org/obo/FBbt_00000119>	"anterior ectoderm"
<http://purl.obolibrary.org/obo/FBbt_00001626>	"lateral cervical tract"
<http://purl.obolibrary.org/obo/FBbt_00003011>	"adult labral segment"
<http://purl.obolibrary.org/obo/FBbt_00111116>	"adult fruitless vMS4 lineage clone"
<http://purl.obolibrary.org/obo/FBbt_00001354>	"dorsal deutocerebral neuroblast"
<http://purl.obolibrary.org/obo/FBbt_00000969>	"abdominal 8 ventral longitudinal muscle"
<http://purl.obolibrary.org/obo/FBbt_00007312>	"integument of larval prothoracic segment"
<http://purl.obolibrary.org/obo/FBbt_00004637>	"metathoracic postcoxal bridge"
<http://purl.obolibrary.org/obo/FBbt_00100445>	"larval MB calyx glomerulus L9"
<http://purl.obolibrary.org/obo/FBbt_00111157>	"adult fruitless pMP6 lineage clone"
<http://purl.obolibrary.org/obo/FBbt_00007040>	"adult anterior midgut epithelium"
<http://purl.obolibrary.org/obo/FBbt_00000325>	"embryonic/larval ganglionic branch"
<http://purl.obolibrary.org/obo/FBbt_00005508>	"mushroom body primordium"
<http://purl.obolibrary.org/obo/FBbt_00110694>	"presumptive vagina"
<http://purl.obolibrary.org/obo/FBbt_00005026>	"tracheal metamere 1"
<http://purl.obolibrary.org/obo/FBbt_00000278>	"dorsal anastomosis 3"
<http://purl.obolibrary.org/obo/FBbt_00007081>	"lateral medial fascicle"
<http://purl.obolibrary.org/obo/FBbt_00003170>	"ostiolar valve 4"
<http://purl.obolibrary.org/obo/FBbt_00005383>	"midgut"
<http://purl.obolibrary.org/obo/FBbt_00001901>	"embryonic/larval transitional segment of Malpighian tubule"
<http://purl.obolibrary.org/obo/FBbt_00008120>	"haltere disc posterior compartment"
<http://purl.obolibrary.org/obo/FBbt_00001043>	"embryonic/larval alary muscle 3"
<http://purl.obolibrary.org/obo/FBbt_00015032>	"ventrolateral neuropil of larval mandibular segment"
<http://purl.obolibrary.org/obo/FBbt_00003517>	"maxillary apodeme"
<http://purl.obolibrary.org/obo/FBbt_00004893>	"ovariole"
<http://purl.obolibrary.org/obo/FBbt_00050231>	"neuroblast VLPd1"
<http://purl.obolibrary.org/obo/FBbt_00004752>	"second anal vein"
<http://purl.obolibrary.org/obo/FBbt_00001714>	"posterior fat body plate"
<http://purl.obolibrary.org/obo/FBbt_00005166>	"external sensory organ precursor cell IIa"
<http://purl.obolibrary.org/obo/FBbt_00001393>	"stage 3 neuroblast"
<http://purl.obolibrary.org/obo/FBbt_00001755>	"larval abdominal segment 8"
<http://purl.obolibrary.org/obo/FBbt_00004678>	"prothoracic pulvillar membrane"
<http://purl.obolibrary.org/obo/FBbt_00111572>	"leg dorsal compartment"
<http://purl.obolibrary.org/obo/FBbt_00110466>	"adult fruitless aSP-j lineage clone"
<http://purl.obolibrary.org/obo/FBbt_00003676>	"protocerebral bridge slice 8"
<http://purl.obolibrary.org/obo/FBbt_00001920>	"embryonic/larval brain"
<http://purl.obolibrary.org/obo/FBbt_00000366>	"lateral F branch 5"
<http://purl.obolibrary.org/obo/FBbt_00110702>	"female adult posterior hindgut"
<http://purl.obolibrary.org/obo/FBbt_00100518>	"developing distal satellite glial cell"
<http://purl.obolibrary.org/obo/FBbt_00000942>	"abdominal 7 transverse muscle"
<http://purl.obolibrary.org/obo/FBbt_00001873>	"embryonic/larval proventriculus intermediate layer"
<http://purl.obolibrary.org/obo/FBbt_00001131>	"abdominal 6 posterior commissure"
<http://purl.obolibrary.org/obo/FBbt_00046030>	"presumptive wing vein L2"
<http://purl.obolibrary.org/obo/FBbt_00007136>	"male germline cyst"
<http://purl.obolibrary.org/obo/FBbt_00004708>	"metathoracic coxa"
<http://purl.obolibrary.org/obo/FBbt_00048545>	"larval terminal filament cell"
<http://purl.obolibrary.org/obo/FBbt_00003558>	"testis sheath muscle"
<http://purl.obolibrary.org/obo/FBbt_00005432>	"salivary gland duct anlage"
<http://purl.obolibrary.org/obo/FBbt_00110204>	"bract primordium"
<http://purl.obolibrary.org/obo/FBbt_00000725>	"abdominal 2 ventral transverse muscle"
<http://purl.obolibrary.org/obo/FBbt_00110389>	"neuroblast VPNd4"
<http://purl.obolibrary.org/obo/FBbt_00100201>	"cell body rind of lateral neuropils"
