?x	?xl
<http://purl.obolibrary.org/obo/PO_0025196>	"basal endosperm transfer layer"
<http://purl.obolibrary.org/obo/PO_0030092>	"loculicidal capsule fruit"
<http://purl.obolibrary.org/obo/PO_0025109>	"eighth order inflorescence axis"
<http://purl.obolibrary.org/obo/PO_0020060>	"caruncle"
<http://purl.obolibrary.org/obo/PO_0020034>	"coleorhiza"
<http://purl.obolibrary.org/obo/PO_0004505>	"fertilized ovule stage"
<http://purl.obolibrary.org/obo/PO_0025135>	"cigar leaf lamina abaxial epidermis"
<http://purl.obolibrary.org/obo/PO_0005003>	"shoot axis trichome"
<http://purl.obolibrary.org/obo/PO_0025589>	"leaf lamina tip"
<http://purl.obolibrary.org/obo/PO_0025443>	"root secondary thickening meristem"
<http://purl.obolibrary.org/obo/PO_0025095>	"root parenchyma"
<http://purl.obolibrary.org/obo/PO_0025417>	"xylem vessel"
<http://purl.obolibrary.org/obo/PO_0025488>	"flower bract primordium"
<http://purl.obolibrary.org/obo/PO_0008001>	"fruit distal end"
<http://purl.obolibrary.org/obo/PO_0007079>	"SE.00 stem elongation begins stage"
<http://purl.obolibrary.org/obo/PO_0030063>	"gametophore axillary hair base"
<http://purl.obolibrary.org/obo/PO_0025552>	"centarch protoxylem"
<http://purl.obolibrary.org/obo/PO_0025316>	"axillary hair"
<http://purl.obolibrary.org/obo/PO_0025294>	"embryo mesocotyl"
<http://purl.obolibrary.org/obo/PO_0025211>	"leaf adaxial trichome"
<http://purl.obolibrary.org/obo/PO_0000012>	"apical hook"
<http://purl.obolibrary.org/obo/PO_0020005>	"placentoid"
<http://purl.obolibrary.org/obo/PO_0008009>	"abaxial nucellar projection"
<http://purl.obolibrary.org/obo/PO_0006326>	"inflorescence axis internode"
<http://purl.obolibrary.org/obo/PO_0008035>	"plerome"
<http://purl.obolibrary.org/obo/PO_0020127>	"primary root"
<http://purl.obolibrary.org/obo/PO_0007029>	"whole plant fruit formation stage 30 to 50%"
<http://purl.obolibrary.org/obo/PO_0020040>	"leaf base"
<http://purl.obolibrary.org/obo/PO_0006065>	"hypocotyl endodermis"
<http://purl.obolibrary.org/obo/PO_0028002>	"sporophyte development stage"
<http://purl.obolibrary.org/obo/PO_0025600>	"staminate flower"
<http://purl.obolibrary.org/obo/PO_0025595>	"shoot system ground meristem"
<http://purl.obolibrary.org/obo/PO_0025619>	"leaf sheath margin"
<http://purl.obolibrary.org/obo/PO_0030111>	"pepo fruit"
<http://purl.obolibrary.org/obo/PO_0025081>	"subterranean tuber axillary shoot"
<http://purl.obolibrary.org/obo/PO_0025254>	"ninth order infructescence axis"
<http://purl.obolibrary.org/obo/PO_0025116>	"sixth order infructescence axis"
<http://purl.obolibrary.org/obo/PO_0007065>	"LP.05 five leaves visible stage"
<http://purl.obolibrary.org/obo/PO_0006036>	"root epidermis"
<http://purl.obolibrary.org/obo/PO_0007605>	"androecium development stage"
<http://purl.obolibrary.org/obo/PO_0025159>	"bract abaxial epidermis"
<http://purl.obolibrary.org/obo/PO_0020108>	"suspensor"
<http://purl.obolibrary.org/obo/PO_0030031>	"gametophyte perianth"
<http://purl.obolibrary.org/obo/PO_0025052>	"tuber pith"
<http://purl.obolibrary.org/obo/PO_0006344>	"shoot lateral meristem"
<http://purl.obolibrary.org/obo/PO_0008027>	"petiole adaxial epidermis"
<http://purl.obolibrary.org/obo/PO_0025467>	"tracheary element death stage of secondary xylem"
<http://purl.obolibrary.org/obo/PO_0001078>	"plant embryo cotyledonary stage"
<http://purl.obolibrary.org/obo/PO_0005669>	"oil gland"
<http://purl.obolibrary.org/obo/PO_0009102>	"short tassel branch"
