?x	?xl
<http://purl.obolibrary.org/obo/PECO_0007349>	"metazoan plant exposure"
<http://purl.obolibrary.org/obo/PECO_0007530>	"diethyl sulfate exposure"
<http://purl.obolibrary.org/obo/PECO_0001009>	"inorganic anion exposure"
<http://purl.obolibrary.org/obo/PECO_0007051>	"sand content exposure"
<http://purl.obolibrary.org/obo/PECO_0007065>	"Entyloma oryzae exposure"
<http://purl.obolibrary.org/obo/PECO_0007538>	"fagaronine exposure"
<http://purl.obolibrary.org/obo/PECO_0007334>	"Pomacea canaliculata exposure"
<http://purl.obolibrary.org/obo/PECO_0007286>	"dry season exposure"
<http://purl.obolibrary.org/obo/PECO_0007396>	"flood prone region exposure"
<http://purl.obolibrary.org/obo/PECO_0001034>	"Pseudomonas syringae plant exposure"
<http://purl.obolibrary.org/obo/PECO_0007189>	"chemical exposure"
<http://purl.obolibrary.org/obo/PECO_0007524>	"caffeine exposure"
<http://purl.obolibrary.org/obo/PECO_0007272>	"Scirpophaga innotata exposure"
<http://purl.obolibrary.org/obo/PECO_0007015>	"Ammannia spp. exposure"
<http://purl.obolibrary.org/obo/PECO_0007382>	"wind environment exposure"
<http://purl.obolibrary.org/obo/PECO_0007571>	"triaziquone exposure"
<http://purl.obolibrary.org/obo/PECO_0007082>	"sea coast region exposure"
<http://purl.obolibrary.org/obo/PECO_0007375>	"Meloidogyne graminicola exposure"
<http://purl.obolibrary.org/obo/PECO_0007174>	"cold temperature exposure"
<http://purl.obolibrary.org/obo/PECO_0001035>	"stratification exposure"
<http://purl.obolibrary.org/obo/PECO_0001060>	"sodium hydroxide exposure"
<http://purl.obolibrary.org/obo/PECO_0007278>	"oxygen exposure"
<http://purl.obolibrary.org/obo/PECO_0007388>	"Alternaria padwickii exposure"
<http://purl.obolibrary.org/obo/PECO_0007336>	"Ditylenchus angustus exposure"
<http://purl.obolibrary.org/obo/PECO_0007290>	"kinetin exposure"
<http://purl.obolibrary.org/obo/PECO_0007563>	"p-N,N-di-(2-chloroethyl)aminophenylethylamine exposure"
<http://purl.obolibrary.org/obo/PECO_0007008>	"Monochoria vaginalis exposure"
<http://purl.obolibrary.org/obo/PECO_0007104>	"NPK fertilizer exposure"
<http://purl.obolibrary.org/obo/PECO_0007160>	"water temperature exposure"
<http://purl.obolibrary.org/obo/PECO_0007098>	"ferrous sulfate exposure"
<http://purl.obolibrary.org/obo/PECO_0007411>	"Pseudomonas fluorescens exposure"
<http://purl.obolibrary.org/obo/PECO_0007521>	"actinomycin D exposure"
<http://purl.obolibrary.org/obo/PECO_0007193>	"day light intensity exposure"
<http://purl.obolibrary.org/obo/PECO_0007529>	"diepoxyoctane exposure"
<http://purl.obolibrary.org/obo/PECO_0007017>	"Cyperus difformis exposure"
<http://purl.obolibrary.org/obo/PECO_0007221>	"visible light exposure"
<http://purl.obolibrary.org/obo/PECO_0007159>	"sandy loam soil exposure"
<http://purl.obolibrary.org/obo/PECO_0007127>	"Meloidogyne spp. exposure"
<http://purl.obolibrary.org/obo/PECO_0001052>	"limited sulfur exposure"
<http://purl.obolibrary.org/obo/PECO_0007229>	"Gibberella fujikuroi exposure"
<http://purl.obolibrary.org/obo/PECO_0007112>	"retroid virus exposure"
<http://purl.obolibrary.org/obo/PECO_0007404>	"drought environment exposure"
<http://purl.obolibrary.org/obo/PECO_0007041>	"antibiotic exposure"
<http://purl.obolibrary.org/obo/PECO_0007041>	"antimicrobial agent exposure"
<http://purl.obolibrary.org/obo/PECO_0007562>	"p-N,N-di-(2-chloroethyl)aminophenylbutyric acid exposure"
<http://purl.obolibrary.org/obo/PECO_0007165>	"growth hormone exposure"
<http://purl.obolibrary.org/obo/PECO_0007361>	"rice gall dwarf virus exposure"
<http://purl.obolibrary.org/obo/PECO_0007106>	"Stramenopiles exposure"
<http://purl.obolibrary.org/obo/PECO_0007413>	"manganese sulfate exposure"
<http://purl.obolibrary.org/obo/PECO_0007047>	"other nutrient exposure"
<http://purl.obolibrary.org/obo/PECO_0007555>	"natural gas exposure"
<http://purl.obolibrary.org/obo/PECO_0007523>	"benzo (or agr)pyrene exposure"
<http://purl.obolibrary.org/obo/PECO_0007625>	"stratosphere exposure"
<http://purl.obolibrary.org/obo/PECO_0007005>	"Viridiplantae plant exposure"
<http://purl.obolibrary.org/obo/PECO_0007327>	"Mycovellosiella oryzae exposure"
<http://purl.obolibrary.org/obo/PECO_0007268>	"fungicide exposure"
<http://purl.obolibrary.org/obo/PECO_0007516>	"2-fluoroethyl methanesulfonate exposure"
<http://purl.obolibrary.org/obo/PECO_0007153>	"radiation quantity exposure"
<http://purl.obolibrary.org/obo/PECO_0007088>	"Ceratobasidium oryzae-sativae exposure"
<http://purl.obolibrary.org/obo/PECO_0007254>	"Pseudomonas avenae exposure"
<http://purl.obolibrary.org/obo/PECO_0007145>	"Xanthomonas plant exposure"
<http://purl.obolibrary.org/obo/PECO_0007074>	"auxin exposure"
<http://purl.obolibrary.org/obo/PECO_0007215>	"orange light exposure"
<http://purl.obolibrary.org/obo/PECO_0007401>	"semiarid region exposure"
<http://purl.obolibrary.org/obo/PECO_0007357>	"biotic plant exposure"
<http://purl.obolibrary.org/obo/PECO_0007360>	"barley yellow dwarf virus exposure"
<http://purl.obolibrary.org/obo/PECO_0007409>	"brassinosteroid exposure"
<http://purl.obolibrary.org/obo/PECO_0001042>	"limited boron exposure"
<http://purl.obolibrary.org/obo/PECO_0007200>	"short day length exposure"
<http://purl.obolibrary.org/obo/PECO_0007199>	"long day length exposure"
<http://purl.obolibrary.org/obo/PECO_0007310>	"Ac/Ds transposable element exposure"
<http://purl.obolibrary.org/obo/PECO_0007060>	"Sphaerulina oryzina exposure"
<http://purl.obolibrary.org/obo/PECO_0007557>	"nitrosomethyl urea exposure"
<http://purl.obolibrary.org/obo/PECO_0007318>	"rice yellow mottle virus exposure"
<http://purl.obolibrary.org/obo/PECO_0001013>	"glucose exposure"
<http://purl.obolibrary.org/obo/PECO_0007262>	"in vitro solid growth medium exposure"
<http://purl.obolibrary.org/obo/PECO_0007366>	"rice black streak dwarf virus exposure"
<http://purl.obolibrary.org/obo/PECO_0007038>	"autumn season exposure"
<http://purl.obolibrary.org/obo/PECO_0001026>	"MTA nitrogen exposure"
<http://purl.obolibrary.org/obo/PECO_0007092>	"wood ash exposure"
<http://purl.obolibrary.org/obo/PECO_0007541>	"hesperidine exposure"
<http://purl.obolibrary.org/obo/PECO_0007611>	"3-H-deoxycytidine exposure"
<http://purl.obolibrary.org/obo/PECO_0007549>	"methoxy diethylnitrosamine exposure"
<http://purl.obolibrary.org/obo/PECO_0001019>	"organic gas exposure"
<http://purl.obolibrary.org/obo/PECO_0007507>	"1,4-dimethanesulfonoxybut-2-yne exposure"
<http://purl.obolibrary.org/obo/PECO_0007241>	"plant nutrient exposure"
<http://purl.obolibrary.org/obo/PECO_0007249>	"Xanthomonas oryzae pv. oryzicola exposure"
<http://purl.obolibrary.org/obo/PECO_0007359>	"plant experimental condition"
<http://purl.obolibrary.org/obo/PECO_0007207>	"red light exposure"
<http://purl.obolibrary.org/obo/PECO_0001044>	"limited carbon exposure"
<http://purl.obolibrary.org/obo/PECO_0007317>	"Nilaparvata lugens exposure"
<http://purl.obolibrary.org/obo/PECO_0007282>	"standing water exposure"
<http://purl.obolibrary.org/obo/PECO_0007392>	"upland region exposure"
<http://purl.obolibrary.org/obo/PECO_0007185>	"salt exposure"
<http://purl.obolibrary.org/obo/PECO_0007295>	"sulfur nutrient exposure"
<http://purl.obolibrary.org/obo/PECO_0007309>	"zinc nutrient exposure"
<http://purl.obolibrary.org/obo/PECO_0001018>	"cadmium exposure"
<http://purl.obolibrary.org/obo/PECO_0007011>	"Sagittaria longiloba exposure"
<http://purl.obolibrary.org/obo/PECO_0007025>	"anaerobic environment exposure"
<http://purl.obolibrary.org/obo/PECO_0007508>	"1,4-dimethanesulfonoxybutane exposure"
<http://purl.obolibrary.org/obo/PECO_0007121>	"Thysanoptera exposure"
<http://purl.obolibrary.org/obo/PECO_0007135>	"Magnaporthe spp. exposure"
<http://purl.obolibrary.org/obo/PECO_0007019>	"Cyperus iria exposure"
<http://purl.obolibrary.org/obo/PECO_0007288>	"magnesium nutrient exposure"
<http://purl.obolibrary.org/obo/PECO_0007129>	"UV-C light exposure"
<http://purl.obolibrary.org/obo/PECO_0007398>	"sub-tropical region exposure"
<http://purl.obolibrary.org/obo/PECO_0007246>	"bacterial plant exposure"
<http://purl.obolibrary.org/obo/PECO_0007356>	"rice hoja blanca virus exposure"
<http://purl.obolibrary.org/obo/PECO_0007616>	"deuteron irradiation exposure"
<http://purl.obolibrary.org/obo/PECO_0007066>	"cytokinin exposure"
<http://purl.obolibrary.org/obo/PECO_0007232>	"selenium nutrient exposure"
<http://purl.obolibrary.org/obo/PECO_0007342>	"Achlya klebsiana exposure"
<http://purl.obolibrary.org/obo/PECO_0007079>	"sulfate fertilizer exposure"
<http://purl.obolibrary.org/obo/PECO_0007531>	"dimethyl sulfoxide exposure"
<http://purl.obolibrary.org/obo/PECO_0007415>	"hydrogen peroxide exposure"
<http://purl.obolibrary.org/obo/PECO_0007052>	"organic matter content exposure"
<http://purl.obolibrary.org/obo/PECO_0001062>	"control exposure"
<http://purl.obolibrary.org/obo/PECO_0007525>	"cisplatin exposure"
<http://purl.obolibrary.org/obo/PECO_0007539>	"formaldehyde exposure"
<http://purl.obolibrary.org/obo/PECO_0007335>	"Mollusca exposure"
<http://purl.obolibrary.org/obo/PECO_0007303>	"carbon nutrient exposure"
<http://purl.obolibrary.org/obo/PECO_0007617>	"ggr ray exposure"
<http://purl.obolibrary.org/obo/PECO_0001020>	"carbon dioxide exposure"
<http://purl.obolibrary.org/obo/PECO_0007287>	"dibromothymoquinone exposure"
<http://purl.obolibrary.org/obo/PECO_0007155>	"soil type exposure"
<http://purl.obolibrary.org/obo/PECO_0007572>	"triethylenemelamine exposure"
<http://purl.obolibrary.org/obo/PECO_0007058>	"soil pH environment exposure"
<http://purl.obolibrary.org/obo/PECO_0007248>	"greenhouse study"
<http://purl.obolibrary.org/obo/PECO_0007097>	"ammonium sulfate exposure"
<http://purl.obolibrary.org/obo/PECO_0007116>	"Hemiptera insect plant exposure"
<http://purl.obolibrary.org/obo/PECO_0007016>	"Bacopa spp. exposure"
<http://purl.obolibrary.org/obo/PECO_0001004>	"inorganic chemical exposure"
<http://purl.obolibrary.org/obo/PECO_0007070>	"indole acetic acid exposure"
<http://purl.obolibrary.org/obo/PECO_0007126>	"Hirschmaniella spp. exposure"
<http://purl.obolibrary.org/obo/PECO_0007279>	"Chilo suppressalis exposure"
<http://purl.obolibrary.org/obo/PECO_0007389>	"Gibberella zeae exposure"
<http://purl.obolibrary.org/obo/PECO_0007083>	"Phoma sorghina exposure"
<http://purl.obolibrary.org/obo/PECO_0007161>	"air temperature exposure"
<http://purl.obolibrary.org/obo/PECO_0007175>	"temperature environment exposure"
<http://purl.obolibrary.org/obo/PECO_0007099>	"potassium sulfate exposure"
<http://purl.obolibrary.org/obo/PECO_0001036>	"chemical stress exposure"
<http://purl.obolibrary.org/obo/PECO_0001061>	"polyethylene glycol exposure"
<http://purl.obolibrary.org/obo/PECO_0007194>	"Sclerospora macrospora exposure"
<http://purl.obolibrary.org/obo/PECO_0007551>	"mitomycin C exposure"
<http://purl.obolibrary.org/obo/PECO_0007001>	"UV-B light exposure"
<http://purl.obolibrary.org/obo/PECO_0007337>	"Nematoda exposure"
<http://purl.obolibrary.org/obo/PECO_0007264>	"Sesamia inferens exposure"
<http://purl.obolibrary.org/obo/PECO_0007564>	"p-p'-N,N-di(2-chloroethyl)aminophenoxyphenylalanine exposure"
<http://purl.obolibrary.org/obo/PECO_0007009>	"Eudicotyledon exposure"
<http://purl.obolibrary.org/obo/PECO_0001022>	"gamma radiation exposure"
<http://purl.obolibrary.org/obo/PECO_0007512>	"1-bromo-2-chloroethane exposure"
<http://purl.obolibrary.org/obo/PECO_0007412>	"zinc sulphate exposure"
<http://purl.obolibrary.org/obo/PECO_0007522>	"aminopterin exposure"
<http://purl.obolibrary.org/obo/PECO_0007167>	"pesticide exposure"
<http://purl.obolibrary.org/obo/PECO_0001053>	"limited manganese exposure"
<http://purl.obolibrary.org/obo/PECO_0007321>	"Hirschmaniella spinicaudata exposure"
<http://purl.obolibrary.org/obo/PECO_0007370>	"Meloidogyne oryzae exposure"
<http://purl.obolibrary.org/obo/PECO_0007273>	"boron nutrient exposure"
<http://purl.obolibrary.org/obo/PECO_0007018>	"Scirpus fluviatilis exposure"
<http://purl.obolibrary.org/obo/PECO_0007383>	"watering exposure"
<http://purl.obolibrary.org/obo/PECO_0007113>	"rice necrosis mosaic virus exposure"
<http://purl.obolibrary.org/obo/PECO_0007405>	"Hoagland solution exposure"
<http://purl.obolibrary.org/obo/PECO_0007376>	"Pyrenochaeta oryzae exposure"
<http://purl.obolibrary.org/obo/PECO_0007107>	"Ascomycota exposure"
<http://purl.obolibrary.org/obo/PECO_0007195>	"rice ragged stunt virus exposure"
<http://purl.obolibrary.org/obo/PECO_0007048>	"sodium chloride exposure"
<http://purl.obolibrary.org/obo/PECO_0007214>	"Alternaria spp. exposure"
<http://purl.obolibrary.org/obo/PECO_0007291>	"benzyladenine exposure"
<http://purl.obolibrary.org/obo/PECO_0007166>	"Pythium spinosum exposure"
<http://purl.obolibrary.org/obo/PECO_0007362>	"Balansia oryzae-sativae exposure"
<http://purl.obolibrary.org/obo/PECO_0007154>	"radiation quality exposure"
<http://purl.obolibrary.org/obo/PECO_0007414>	"peroxide exposure"
<http://purl.obolibrary.org/obo/PECO_0007034>	"kharif season exposure"
<http://purl.obolibrary.org/obo/PECO_0007320>	"Meloidogyne arenaria exposure"
<http://purl.obolibrary.org/obo/PECO_0001055>	"inorganic gas exposure"
<http://purl.obolibrary.org/obo/PECO_0007328>	"Pythium spp. exposure"
<http://purl.obolibrary.org/obo/PECO_0007269>	"growth chamber study"
<http://purl.obolibrary.org/obo/PECO_0007503>	"1,2-dibromoethane exposure"
<http://purl.obolibrary.org/obo/PECO_0007517>	"2-methoxyethanol exposure"
<http://purl.obolibrary.org/obo/PECO_0007140>	"Scirpus spp. exposure"
<http://purl.obolibrary.org/obo/PECO_0007222>	"UV light exposure"
<http://purl.obolibrary.org/obo/PECO_0007610>	"3-H exposure"
<http://purl.obolibrary.org/obo/PECO_0007089>	"bone meal exposure"
<http://purl.obolibrary.org/obo/PECO_0007550>	"methyl methanesulfonate exposure"
<http://purl.obolibrary.org/obo/PECO_0007558>	"p-N,N-di(2-chloroethyl)aminophenylvaleric acid exposure"
<http://purl.obolibrary.org/obo/PECO_0007146>	"gravity exposure"
<http://purl.obolibrary.org/obo/PECO_0007216>	"yellow light exposure"
<http://purl.obolibrary.org/obo/PECO_0001043>	"limited glucose exposure"
<http://purl.obolibrary.org/obo/PECO_0007367>	"Aphelenchoides besseyi exposure"
<http://purl.obolibrary.org/obo/PECO_0007311>	"Orseolia oryzae exposure"
<http://purl.obolibrary.org/obo/PECO_0007209>	"Phomopsis oryzae-sativae exposure"
<http://purl.obolibrary.org/obo/PECO_0007061>	"tropical region exposure"
<http://purl.obolibrary.org/obo/PECO_0007319>	"warm/hot air temperature exposure"
<http://purl.obolibrary.org/obo/PECO_0007626>	"supersonic exposure"
<http://purl.obolibrary.org/obo/PECO_0001014>	"disaccharide exposure"
<http://purl.obolibrary.org/obo/PECO_0007263>	"Maliarpha separatella exposure"
<http://purl.obolibrary.org/obo/PECO_0007131>	"middle infra-red light exposure"
<http://purl.obolibrary.org/obo/PECO_0001027>	"alanine nitrogen exposure"
<http://purl.obolibrary.org/obo/PECO_0007242>	"iron nutrient exposure"
<http://purl.obolibrary.org/obo/PECO_0007542>	"hexamethylmelamine exposure"
<http://purl.obolibrary.org/obo/PECO_0007612>	"3-H-thymidine exposure"
<http://purl.obolibrary.org/obo/PECO_0007255>	"laboratory study"
<http://purl.obolibrary.org/obo/PECO_0007062>	"basic pH soil environment exposure"
<http://purl.obolibrary.org/obo/PECO_0007075>	"high light intensity exposure"
<http://purl.obolibrary.org/obo/PECO_0007033>	"rabi season exposure"
<http://purl.obolibrary.org/obo/PECO_0001045>	"limited sulfate exposure"
<http://purl.obolibrary.org/obo/PECO_0007369>	"Meloidogyne salasi exposure"
<http://purl.obolibrary.org/obo/PECO_0007283>	"Stenchaetothrips biformis exposure"
<http://purl.obolibrary.org/obo/PECO_0007026>	"Echinochloa glabrescens exposure"
