x,xl
http://purl.obolibrary.org/obo/UBERON_0015103,distal tarsal bone 1 cartilage
http://purl.obolibrary.org/obo/UBERON_0009669,embryonic cloacal lumen
http://purl.obolibrary.org/obo/UBERON_0001502,interosseous muscle of manus
http://purl.obolibrary.org/obo/UBERON_0014280,piriform cortex layer 2
http://purl.obolibrary.org/obo/UBERON_0014666,nucleus recessus preopticus
http://purl.obolibrary.org/obo/UBERON_0010560,pedal digit 4 metatarsal cartilage element
http://purl.obolibrary.org/obo/UBERON_0034875,future pituitary gland
http://purl.obolibrary.org/obo/UBERON_2002279,pectoral fin distal radial bone 2
http://purl.obolibrary.org/obo/UBERON_0012179,bone of pelvis
http://purl.obolibrary.org/obo/UBERON_3010235,nuchal groove
http://purl.obolibrary.org/obo/UBERON_0001504,lumbrical muscle of pes
http://purl.obolibrary.org/obo/UBERON_0003674,cuspid
http://purl.obolibrary.org/obo/UBERON_0013712,anterior iliac spine
http://purl.obolibrary.org/obo/CP_0000037,increased nucleus size
http://purl.obolibrary.org/obo/UBERON_6026000,trunk mesoderm derivative
http://purl.obolibrary.org/obo/UBERON_0011210,migration pathway NC-derived mesenchyme
http://purl.obolibrary.org/obo/UBERON_0024940,ganglion part of peripheral nervous system
http://purl.obolibrary.org/obo/UBERON_0010251,anterior meningeal artery
http://purl.obolibrary.org/obo/UBERON_0000383,musculature of body
http://purl.obolibrary.org/obo/UBERON_0004797,blood vessel layer
http://purl.obolibrary.org/obo/UBERON_0005228,upper arm epithelium
http://purl.obolibrary.org/obo/UBERON_2000711,DEL
http://purl.obolibrary.org/obo/CL_0000470,digestive enzyme secreting cell
http://purl.obolibrary.org/obo/UBERON_0034965,middle thyroid vein
http://purl.obolibrary.org/obo/UBERON_2002219,parvocellular preoptic nucleus
http://purl.obolibrary.org/obo/UBERON_0010685,pedal digit phalanx cartilage element
http://purl.obolibrary.org/obo/UBERON_0006780,zonal layer of superior colliculus
http://purl.obolibrary.org/obo/UBERON_0013138,coronary ligament of liver
http://purl.obolibrary.org/obo/UBERON_0002491,lambdoid suture
http://purl.obolibrary.org/obo/UBERON_2000001,Kupffer's vesicle
http://purl.obolibrary.org/obo/CL_1000384,type 2 vestibular sensory cell of epithelium of macula of saccule of membranous labyrinth
http://purl.obolibrary.org/obo/UBERON_0000332,yellow bone marrow
http://purl.obolibrary.org/obo/UBERON_0001187,testicular artery
http://purl.obolibrary.org/obo/UBERON_0012152,skeleton of pedal digitopodium
http://purl.obolibrary.org/obo/UBERON_0007633,nucleus of trapezoid body
http://purl.obolibrary.org/obo/UBERON_0014548,pyramidal layer of CA1
http://purl.obolibrary.org/obo/UBERON_0004166,superior reticular formation
http://purl.obolibrary.org/obo/UBERON_0001445,skeleton of pes
http://purl.obolibrary.org/obo/UBERON_0004254,forelimb zeugopod muscle
http://purl.obolibrary.org/obo/UBERON_0001533,subclavian artery
http://purl.obolibrary.org/obo/UBERON_0013196,strand of wool
http://purl.obolibrary.org/obo/UBERON_0010277,mesocardium
http://purl.obolibrary.org/obo/CL_0000161,acid secreting cell
http://purl.obolibrary.org/obo/UBERON_0003314,eye mesenchyme
http://purl.obolibrary.org/obo/UBERON_3000730,foramen nutritium
http://purl.obolibrary.org/obo/UBERON_0010365,odontoid tissue
http://purl.obolibrary.org/obo/UBERON_0016505,Mullerian tubercle
http://purl.obolibrary.org/obo/UBERON_0010700,phalanx pre-cartilage condensation
http://purl.obolibrary.org/obo/UBERON_0010513,strand of zigzag hair
http://purl.obolibrary.org/obo/UBERON_0007812,post-anal tail
http://purl.obolibrary.org/obo/UBERON_0000023,wing
http://purl.obolibrary.org/obo/UBERON_3010227,costal protuberances
http://purl.obolibrary.org/obo/UBERON_0002469,esophagus mucosa
http://purl.obolibrary.org/obo/UBERON_0002076,cuticle of hair
http://purl.obolibrary.org/obo/UBERON_0001136,mesothelium
http://purl.obolibrary.org/obo/UBERON_0001610,lingual artery
http://purl.obolibrary.org/obo/UBERON_0010228,ruminal fluid
http://purl.obolibrary.org/obo/UBERON_0010847,ulna pre-cartilage condensation
http://purl.obolibrary.org/obo/UBERON_0035783,ganglion of ciliary nerve
http://purl.obolibrary.org/obo/UBERON_0018102,distal mesopodial bone
http://purl.obolibrary.org/obo/UBERON_0005499,rhombomere 1
http://purl.obolibrary.org/obo/UBERON_0014483,distal phalanx of digit 1
http://purl.obolibrary.org/obo/UBERON_0004338,proximal phalanx of manual digit 1
http://purl.obolibrary.org/obo/UBERON_0001780,spinal nerve
http://purl.obolibrary.org/obo/UBERON_0015032,pedal digit 2 phalanx endochondral element
http://purl.obolibrary.org/obo/UBERON_0001090,synovial fluid
http://purl.obolibrary.org/obo/UBERON_3010091,upper lip protuberances
http://purl.obolibrary.org/obo/UBERON_2001504,occipital arch cartilage
http://purl.obolibrary.org/obo/UBERON_0008851,ectoplacental cavity
http://purl.obolibrary.org/obo/UBERON_0002857,first lumbar dorsal root ganglion
http://purl.obolibrary.org/obo/UBERON_0010881,limb cartilage element
http://purl.obolibrary.org/obo/UBERON_0002722,trochlear nucleus
http://purl.obolibrary.org/obo/UBERON_0005865,pre-muscle condensation
http://purl.obolibrary.org/obo/UBERON_0005688,lens vesicle cavity
http://purl.obolibrary.org/obo/UBERON_0002945,ventral posteromedial nucleus of thalamus
http://purl.obolibrary.org/obo/UBERON_0003119,pharyngeal arch artery 2
http://purl.obolibrary.org/obo/CL_0000855,sensory hair cell
http://purl.obolibrary.org/obo/UBERON_0011964,calcaneocuboid joint
http://purl.obolibrary.org/obo/UBERON_0006585,vestibular organ
http://purl.obolibrary.org/obo/UBERON_0015104,distal tarsal bone 1 pre-cartilage condensation
http://purl.obolibrary.org/obo/UBERON_0006673,mandibular canal
http://purl.obolibrary.org/obo/UBERON_0008923,sublaminar layer S2
http://purl.obolibrary.org/obo/UBERON_0001383,muscle of leg
http://purl.obolibrary.org/obo/UBERON_0008454,rectus capitis posterior major
http://purl.obolibrary.org/obo/UBERON_0018261,muscular coat of digestive tract
http://purl.obolibrary.org/obo/UBERON_0017157,exoccipital-atlas joint
http://purl.obolibrary.org/obo/UBERON_0002548,larva
http://purl.obolibrary.org/obo/UBERON_0002265,olfactory tract
http://purl.obolibrary.org/obo/UBERON_0004894,alveolar wall
http://purl.obolibrary.org/obo/UBERON_0010561,pedal digit 5 metatarsal cartilage element
http://purl.obolibrary.org/obo/UBERON_0010417,lymph node T cell domain
http://purl.obolibrary.org/obo/CL_0000054,bone matrix secreting cell
http://purl.obolibrary.org/obo/UBERON_0004311,distal phalanx of manual digit 2
http://purl.obolibrary.org/obo/UBERON_0035148,presumptive axochord
http://purl.obolibrary.org/obo/UBERON_0006966,coronary capillary
http://purl.obolibrary.org/obo/UBERON_0014667,periventricular nucleus of hypothalamus
http://purl.obolibrary.org/obo/UBERON_6000007,procephalic segment
http://purl.obolibrary.org/obo/UBERON_0034876,future neurohypophysis
http://purl.obolibrary.org/obo/UBERON_0032748,sacral spinal cord ventral horn
http://purl.obolibrary.org/obo/UBERON_0001106,cephalic vein
http://purl.obolibrary.org/obo/CL_1001568,pulmonary artery endothelial cell
http://purl.obolibrary.org/obo/UBERON_0034964,superficial epigastric artery
http://purl.obolibrary.org/obo/UBERON_0005721,pronephric mesoderm
http://purl.obolibrary.org/obo/UBERON_0009010,periurethral tissue
http://purl.obolibrary.org/obo/UBERON_3000688,prominentia apicalis dorsalis
http://purl.obolibrary.org/obo/UBERON_0011915,cerebellar glomerulus
http://purl.obolibrary.org/obo/CL_0010009,camera-type eye photoreceptor cell
http://purl.obolibrary.org/obo/UBERON_0010192,genital artery
http://purl.obolibrary.org/obo/UBERON_0001497,muscle of pelvic girdle
http://purl.obolibrary.org/obo/UBERON_0012104,sesamoid bone of the peroneus longus muscle
http://purl.obolibrary.org/obo/CL_0000003,native cell
http://purl.obolibrary.org/obo/UBERON_0005229,lower leg epithelium
http://purl.obolibrary.org/obo/UBERON_0000304,tendon sheath
http://purl.obolibrary.org/obo/UBERON_0010686,manual digit phalanx cartilage element
http://purl.obolibrary.org/obo/UBERON_0002529,limb segment
http://purl.obolibrary.org/obo/UBERON_0022329,entorhinal cortex layer 6
http://purl.obolibrary.org/obo/UBERON_0003454,small intestine Peyer's patch
http://purl.obolibrary.org/obo/UBERON_0006682,hypoglossal canal
http://purl.obolibrary.org/obo/UBERON_0014523,oculomotor division of oculomotor nuclear complex
